Date,Country/Territory/Area,Confirmed Cases,Exposure under investigation,Total Deaths,Exposure in China,Exposure outside China 
2/3/2020,Japan,20,0,0,17,3
2/3/2020,Republic of Korea,15,3,0,8,4
2/3/2020,Vietnam,8,0,0,6,2
2/3/2020,Singapore,18,0,0,18,0
2/3/2020,Australia,12,0,0,12,0
2/3/2020,Malaysia,8,0,0,7,1
2/3/2020,Cambodia,1,0,0,1,0
2/3/2020,Philippines,2,1,1,1,0
2/3/2020,Thailand,19,0,0,18,1
2/3/2020,Nepal,1,0,0,1,0
2/3/2020,Sri Lanka,1,0,0,1,0
2/3/2020,India,3,0,0,3,0
2/3/2020,United States of America,11,1,0,8,2
2/3/2020,Canada,4,1,0,3,0
2/3/2020,France,6,0,0,5,1
2/3/2020,Finland,1,0,0,1,0
2/3/2020,Germany,10,0,0,2,8
2/3/2020,Italy,2,0,0,2,0
2/3/2020,Russian Federation,2,0,0,2,0
2/3/2020,Spain,1,0,0,0,1
2/3/2020,Sweden,1,0,0,1,0
2/3/2020,United Kingdom,2,0,0,1,1
2/3/2020,United Arab Emirates,5,0,0,5,0
2/7/2020,Singapore,30,0,0,21,9
2/7/2020,Japan,25,0,0,21,4
2/7/2020,Republic of Korea,24,2,0,11,11
2/7/2020,Australia,15,0,0,15,0
2/7/2020,Malaysia,14,1,0,9,4
2/7/2020,Vietnam,12,0,0,7,5
2/7/2020,Philippines,3,1,1,2,0
2/7/2020,Cambodia,1,0,0,1,0
2/7/2020,Thailand,25,0,0,21,4
2/7/2020,India,3,0,0,3,0
2/7/2020,Nepal,1,0,0,1,0
2/7/2020,Sri Lanka,1,0,0,1,0
2/7/2020,United States of America,12,0,0,10,2
2/7/2020,Canada,7,1,0,6,0
2/7/2020,Germany,13,0,0,2,11
2/7/2020,France,6,0,0,5,1
2/7/2020,Italy,3,0,0,3,0
2/7/2020,The United Kingdom,3,0,0,1,2
2/7/2020,Russian Federation,2,0,0,2,0
2/7/2020,Belgium,1,0,0,1,0
2/7/2020,Finland,1,0,0,1,0
2/7/2020,Spain,1,0,0,0,1
2/7/2020,Sweden,1,0,0,1,0
2/7/2020,United Arab Emirates,5,0,0,5,0
2/7/2020,International conveyance (Japan),61,61,0,0,0
2/11/2020,Singapore,45,0,0,22,23
2/11/2020,Republic of Korea,28,3,0,13,12
2/11/2020,Japan,26,0,0,22,4
2/11/2020,Malaysia,18,0,0,15,3
2/11/2020,Australia,15,0,0,15,0
2/11/2020,Vietnam,15,1,0,8,6
2/11/2020,Philippines,3,1,1,2,0
2/11/2020,Cambodia,1,0,0,1,0
2/11/2020,Thailand,33,4,0,23,6
2/11/2020,India,3,0,0,3,0
2/11/2020,Nepal,1,0,0,1,0
2/11/2020,Sri Lanka,1,0,0,1,0
2/11/2020,United States of America,13,0,0,11,2
2/11/2020,Canada,7,1,0,6,0
2/11/2020,Germany,14,0,0,2,12
2/11/2020,France,11,0,0,5,6
2/11/2020,The United Kingdom,8,0,0,1,7
