,day,predicted cases
0,0.0,65.39668066908352
1,0.25,74.95657626187356
2,0.5,85.91396791730786
3,0.75,98.47314607204962
4,1.0,112.86826499109597
5,1.25,129.3677083575594
6,1.5,148.2790930383029
7,1.75,169.95500431601275
8,2.0,194.79956951580846
9,2.25,223.27599258558
10,2.5,255.9151901053373
11,2.75,293.32568973598046
12,3.0,336.20497565491826
13,3.25,385.35249250369014
14,3.5,441.68455029417487
15,3.75,506.2514081615791
16,4.0,580.2568554749871
17,4.25,665.0806553771738
18,4.5,762.3042691927291
19,4.75,873.740341312301
20,5.0,1001.4664942713636
21,5.25,1147.8640641015063
22,5.5,1315.6624981390585
23,5.75,1507.9902430471395
24,6.0,1728.4330718112615
25,6.25,1981.1009371613852
26,6.5,2270.704597840678
27,6.75,2602.6434463469077
28,7.0,2983.1061756135064
29,7.25,3419.186161467504
30,7.5,3919.013712063582
31,7.75,4491.90764996267
32,8.0,5148.549052962792
33,8.25,5901.180392919333
34,8.5,6763.833785313893
35,8.75,7752.5926050739245
36,9.0,8885.891346228236
37,9.25,10184.859316004384
38,9.5,11673.714571226645
39,9.75,13380.215441594482
40,10.0,15336.178058075595
