,day,predicted cases
0,0.0,50.90549002360361
1,0.25,57.85498426729966
2,0.5,65.7532066387629
3,0.75,74.72967520489917
4,1.0,84.9315895255141
5,1.25,96.52624448791288
6,1.5,109.7037736723547
7,1.75,124.68026723511709
8,2.0,141.70131543740672
9,2.25,161.04603592825777
10,2.5,183.03165082234003
11,2.75,208.0186886293478
12,3.0,236.41689633819323
13,3.25,268.69195860461974
14,3.5,305.37313422603927
15,3.75,347.0619351294247
16,4.0,394.4419901936155
17,4.25,448.2902556567616
18,4.5,509.4897559414494
19,4.75,579.0440638264237
20,5.0,658.0937574162947
21,5.25,747.9351237769027
22,5.5,850.0414159456965
23,5.75,966.0870118977003
24,6.0,1097.9748716350207
25,6.25,1247.8677426517318
26,6.5,1418.2236254932718
27,6.75,1611.8360809881367
28,7.0,1831.8800401252522
29,7.25,2081.963867784887
30,7.5,2366.1885340840527
31,7.75,2689.2148636507095
32,8.0,3056.3399656060587
33,8.25,3473.584097582964
34,8.5,3947.7893882098497
35,8.75,4486.732036949067
36,9.0,5099.249831185535
37,9.25,5795.387071639573
38,9.5,6586.55928264619
39,9.75,7485.740408282907
40,10.0,8507.675564059695
