,day,predicted cases
0,0.0,71.6298613085717
1,0.25,81.65562429337132
2,0.5,93.08465571386382
3,0.75,106.11336578896199
4,1.0,120.96565553913308
5,1.25,137.89676457076726
6,1.5,157.19765742048972
7,1.75,179.2000238396323
8,2.0,204.28197894976455
9,2.25,232.87456122761233
10,2.5,265.4691399885495
11,2.75,302.62585966776646
12,3.0,344.98326601579714
13,3.25,393.26927963652395
14,3.5,448.31370545013147
15,3.75,511.062493058665
16,4.0,582.5939930814611
17,4.25,664.1374888288659
18,4.5,757.0943217848081
19,4.75,863.0619739439193
20,5.0,983.8615208630417
21,5.25,1121.5689272133727
22,5.5,1278.5507226536447
23,5.75,1457.5046711214432
24,6.0,1661.5061324526725
25,6.25,1894.060913062979
26,6.5,2159.1655139408
27,6.75,2461.3758113259914
28,7.0,2805.8853503654063
29,7.25,3198.6145972377394
30,7.5,3646.3126835634807
31,7.75,4156.673391598266
32,8.0,4738.467373438636
33,8.25,5401.692876454048
34,8.5,6157.747565192194
35,8.75,7019.624392551849
36,9.0,8002.134886309025
37,9.25,9122.163688220584
38,9.5,10398.958720011336
39,9.75,11854.46196280587
40,10.0,13513.686534516604
