,day,predicted cases
0,0.0,67.13457305995418
1,0.25,76.64709313261979
2,0.5,87.50747368921306
3,0.75,99.90669754714261
4,1.0,114.06280851193878
5,1.25,130.2247457383133
6,1.5,148.6767213945405
7,1.75,169.74321861260808
8,2.0,193.79469761448266
9,2.25,221.25411035831024
10,2.5,252.60433826641986
11,2.75,288.396683829649
12,3.0,329.26056541521854
13,3.25,375.9145857640542
14,3.5,429.1791688201633
15,3.75,489.990987114231
16,4.0,559.4194334109974
17,4.25,638.6854262789196
18,4.5,729.1828802833045
19,4.75,832.5032183622341
20,5.0,950.463357442247
21,5.25,1085.1376594286205
22,5.5,1238.8944094373198
23,5.75,1414.4374627484833
24,6.0,1614.8537928547219
25,6.25,1843.667776749911
26,6.5,2104.9031720803937
27,6.75,2403.1538760440712
28,7.0,2743.6647103523255
29,7.25,3132.4236528808356
30,7.5,3576.2671379285653
31,7.75,4083.000276819299
32,8.0,4661.534112958502
33,8.25,5322.0423250139065
34,8.5,6076.140133888917
35,8.75,6937.088559617789
36,9.0,7920.027620096984
37,9.25,9042.242572517358
38,9.5,10323.467879426933
39,9.75,11786.234244752119
40,10.0,13456.264822502546
