,day,predicted cases
0,0.0,151.19633889391895
1,0.25,157.1172291984596
2,0.5,163.26998319927006
3,0.75,169.66368074260362
4,1.0,176.30775724399547
5,1.25,183.2120176124538
6,1.5,190.3866507199261
7,1.75,197.84224443739356
8,2.0,205.58980125978326
9,2.25,213.64075454275627
10,2.5,222.00698537533253
11,2.75,230.70084011325292
12,3.0,239.73514859895184
13,3.25,249.1232430950299
14,3.5,258.87897795916564
15,3.75,269.01675008950303
16,4.0,279.5515201706855
17,4.25,290.4988347518905
18,4.5,301.87484918944654
19,4.75,313.6963514878885
20,5.0,325.9807870746361
21,5.25,338.7462845448555
22,5.5,352.01168241449585
23,5.75,365.7965569209834
24,6.0,380.12125091259776
25,6.25,395.0069038691641
26,6.5,410.4754830983641
27,6.75,426.54981615370303
28,7.0,443.2536245219733
29,7.25,460.61155862992814
30,7.5,478.64923422182704
31,7.75,497.39327016153464
32,8.0,516.8713277149616
33,8.25,537.1121513708158
34,8.5,558.1456112599054
35,8.75,580.0027472355941
36,9.0,602.7158146804587
37,9.25,626.3183321067479
38,9.5,650.845130620889
39,9.75,676.3324053250367
40,10.0,702.8177687315227
