,day,predicted cases
0,0.0,56.57017747035187
1,0.25,65.11525145398646
2,0.5,74.95108132086105
3,0.75,86.27263913948082
4,1.0,99.30434802172073
5,1.25,114.3045307803293
6,1.5,131.57053056784022
7,1.75,151.44460500144936
8,2.0,174.32071061094535
9,2.25,200.65231209533107
10,2.5,230.9613711881817
11,2.75,265.8486933147393
12,3.0,306.0058371387553
13,3.25,352.22882307768265
14,3.5,405.4339125251175
15,3.75,466.67577056626055
16,4.0,537.1683722192844
17,4.25,618.3090666194038
18,4.5,711.7062761611965
19,4.75,819.2113796691679
20,5.0,942.9554116050261
21,5.25,1085.391304786668
22,5.5,1249.342513980887
23,5.75,1438.058984217555
24,6.0,1655.281573264755
25,6.25,1905.3162052880934
26,6.5,2193.1192256151458
27,6.75,2524.3956485613976
28,7.0,2905.7122458485046
29,7.25,3344.627717325353
30,7.5,3849.8425243186434
31,7.75,4431.371355704872
32,8.0,5100.741645435761
33,8.25,5871.222076657634
34,8.5,6758.085601978585
35,8.75,7778.912193638269
36,9.0,8953.937324886505
37,9.25,10306.453090390012
38,9.5,11863.269916930793
39,9.75,13655.248016718953
40,10.0,15717.9091181252
