,day,predicted cases
0,0.0,66.29784177453566
1,0.25,75.90462717969622
2,0.5,86.90346884718076
3,0.75,99.49608051948992
4,1.0,113.91340495451314
5,1.25,130.41984931043618
6,1.5,149.31813425249553
7,1.75,170.95484571198747
8,2.0,195.7267911142615
9,2.25,224.08827664602137
10,2.5,256.55943902369984
11,2.75,293.73578456374025
12,3.0,336.2991104969862
13,3.25,385.0300088191066
14,3.5,440.8221819919738
15,3.75,504.6988330394308
16,4.0,577.8314306243351
17,4.25,661.5611932498364
18,4.5,757.423686595347
19,4.75,867.1769850911345
20,5.0,992.8339142019767
21,5.25,1136.6989647286655
22,5.5,1301.4105561188205
23,5.75,1489.989423876869
24,6.0,1705.8940184762334
25,6.25,1953.0839317645227
26,6.5,2236.0925140730897
27,6.75,2560.1100137956387
28,7.0,2931.0787641778543
29,7.25,3355.8021630003964
30,7.5,3842.069443792951
31,7.75,4398.798526826545
32,8.0,5036.199569706194
33,8.25,5765.962217007216
34,8.5,6601.469983028159
35,8.75,7558.045699342338
36,9.0,8653.232528544171
37,9.25,9907.115697854339
38,9.5,11342.690853031416
39,9.75,12986.285788032808
40,10.0,14868.04328475475
