,day,predicted cases
0,0.0,22.333333333347724
1,0.25,50.717378162213095
2,0.5,82.90860615080132
3,0.75,117.0487273685568
4,1.0,151.6349206349239
5,1.25,185.519833519347
6,1.5,217.91158234127053
7,1.75,248.3737521701388
8,2.0,276.8253968253963
9,2.25,303.5410388764873
10,2.5,329.1506696428563
11,2.75,354.63974919394775
12,3.0,381.34920634920593
13,3.25,410.9754386780753
14,3.5,445.57031250000034
15,3.75,487.5411628844254
16,4.0,539.6507936507949
17,4.25,605.0174773685533
18,4.5,687.1149553571449
19,4.75,789.772437686014
20,5.0,917.1746031746056
21,5.25,1073.8615993923645
22,5.5,1264.7290426587335
23,5.75,1495.0280180431582
24,6.0,1770.3650793650827
25,6.25,2096.7022491939515
26,6.5,2480.3570188492095
27,6.75,2928.0023484003
28,7.0,3446.6666666666697
29,7.25,4043.733871217761
30,7.5,4726.943328373019
31,7.75,5504.389873201887
32,8.0,6384.523809523812
33,8.25,7376.150909908236
34,8.5,8488.432415674606
35,8.75,9730.885036892367
36,9.0,11113.380952380956
37,9.25,12646.14780970983
38,9.5,14339.768725198417
39,9.75,16205.18228391618
40,10.0,18253.682539682544
