,day,predicted cases
0,0.0,-463.66666666665253
1,0.25,-263.85342261903696
2,0.5,-99.75396825396064
3,0.75,31.940724206354275
4,1.0,134.5396825396855
5,1.25,211.35193452381066
6,1.5,265.6865079365076
7,1.75,300.8524305555542
8,2.0,320.15873015872796
9,2.25,326.9144345238067
10,2.5,324.4285714285684
11,2.75,316.01016865079043
12,3.0,304.968253968251
13,3.25,294.6118551587275
14,3.5,288.2499999999976
15,3.75,289.19171626983984
16,4.0,300.7460317460308
17,4.25,326.2219742063486
18,4.5,368.9285714285719
19,4.75,432.17485119047706
20,5.0,519.2698412698434
21,5.25,633.522569444447
22,5.5,778.2420634920671
23,5.75,956.7373511904801
24,6.0,1172.3174603174643
25,6.25,1428.2914186507983
26,6.5,1727.9682539682585
27,6.75,2074.656994047624
28,7.0,2471.6666666666706
29,7.25,2922.306299603179
30,7.5,3429.8849206349246
31,7.75,3997.711557539684
32,8.0,4629.0952380952385
33,8.25,5327.344990079365
34,8.5,6095.7698412698355
35,8.75,6937.678819444438
36,9.0,7856.380952380944
37,9.25,8855.18526785713
38,9.5,9937.400793650773
39,9.75,11106.336557539658
40,10.0,12365.301587301561
