,day,predicted cases
0,0.0,117.66666666666639
1,0.25,125.79538690476181
2,0.5,135.64980158730165
3,0.75,147.4312996031748
4,1.0,161.3412698412701
5,1.25,177.58110119047655
6,1.5,196.35218253968293
7,1.75,217.85590277777817
8,2.0,242.29365079365118
9,2.25,269.8668154761909
10,2.5,300.77678571428606
11,2.75,335.2249503968257
12,3.0,373.4126984126987
13,3.25,415.5414186507939
14,3.5,461.8125000000002
15,3.75,512.4273313492065
16,4.0,567.5873015873017
17,4.25,627.4937996031747
18,4.5,692.3482142857144
19,4.75,762.3519345238096
20,5.0,837.7063492063494
21,5.25,918.6128472222224
22,5.5,1005.2728174603178
23,5.75,1097.887648809524
24,6.0,1196.6587301587308
25,6.25,1301.7874503968262
26,6.5,1413.4751984126992
27,6.75,1531.9233630952392
28,7.0,1657.3333333333346
29,7.25,1789.906498015875
30,7.5,1929.8442460317483
31,7.75,2077.347966269844
32,8.0,2232.619047619051
33,8.25,2395.858878968258
34,8.5,2567.268849206354
35,8.75,2747.0503472222276
36,9.0,2935.404761904768
37,9.25,3132.5334821428646
38,9.5,3338.6378968254044
39,9.75,3553.9193948412794
40,10.0,3778.5793650793744
