Date,Country/Territory/Area,Confirmed cases ,Total with sites under investigation ,Total deaths,Exposure in China,Exposure outside of China
2/11/2020,Singapore,45,0,0,22,23
2/11/2020,Republic of Korea,28,3,0,13,12
2/11/2020,Japan,26,0,0,22,4
2/11/2020,Malaysia,18,0,0,15,3
2/11/2020,Australia,15,0,0,15,0
2/11/2020,Viet Nam,15,1,0,8,6
2/11/2020,Philippines,3,1,1,2,0
2/11/2020,Cambodia,1,0,0,1,0
2/11/2020,Thailand,33,4,0,23,6
2/11/2020,India,3,0,0,3,0
2/11/2020,Nepal,1,0,0,1,0
2/11/2020,Sri Lanka,1,0,0,1,0
2/11/2020,United States of America,13,0,0,11,2
2/11/2020,Canada,7,1,0,6,0
2/11/2020,Germany,14,0,0,2,12
2/11/2020,France,11,0,0,5,6
2/11/2020,The United Kingdom,8,0,0,1,7
2/11/2020,Italy,3,0,0,3,0
2/11/2020,Russian Federation,2,0,0,2,0
2/11/2020,Spain,2,0,0,0,2
2/11/2020,Belgium,1,0,0,1,0
2/11/2020,Finland,1,0,0,1,0
2/11/2020,Sweden,1,0,0,1,0
2/11/2020,United Arab Emirates,8,1,0,6,1
2/11/2020,International conveyance (Japan),135,135,0,0,0
