Date,Country/Territory/Area,Confirmed cases ,Total with sites under investigation ,Total deaths,Exposure to China,Exposure outside reporting country and outside China 
2/15/2020,Singapore,67,1,0,22,44
2/15/2020,Japan,41,0,1,25,16
2/15/2020,Republic of Korea,28,3,0,13,12
2/15/2020,Malaysia,21,1,0,16,4
2/15/2020,Viet Nam,16,0,0,8,8
2/15/2020,Australia,15,0,0,12,3
2/15/2020,Philippines,3,0,1,3,0
2/15/2020,Cambodia,1,0,0,1,0
2/15/2020,Thailand,34,4,0,23,7
2/15/2020,India,3,0,0,3,0
2/15/2020,Nepal,1,0,0,1,0
2/15/2020,Sri Lanka,1,0,0,1,0
2/15/2020,United States of America,15,0,0,13,2
2/15/2020,Canada,7,1,0,6,0
2/15/2020,Germany,16,0,0,2,14
2/15/2020,France,11,0,0,5,6
2/15/2020,The United Kingdom,9,0,0,2,7
2/15/2020,Italy,3,0,0,3,0
2/15/2020,Russia,2,0,0,2,0
2/15/2020,Spain,2,0,0,0,2
2/15/2020,Belgium,1,0,0,1,0
2/15/2020,Finland,1,0,0,1,0
2/15/2020,Sweden,1,0,0,1,0
2/15/2020,United Arab Emirates,8,1,0,6,1
2/15/2020,Egypt,1,0,0,0,1
2/15/2020,conveyance (Japan),218,218,0,0,0
