Date,Country/Territory/Area,Confirmed cases,Total with sites under investigation ,Total deaths ,Exposure in China,Exposure Outside of China,Exposure Outside of Reporting Country and Outside China,Exposure in reporting country
2/23/2020,Republic of Korea,602,232,5,13,357,4,353
2/23/2020,Japan,132,7,1,28,97,5,92
2/23/2020,Singapore,89,7,0,24,58,0,58
2/23/2020,Australia,22,0,0,12,10,7,3
2/23/2020,Malaysia,22,2,0,17,3,1,2
2/23/2020,Viet Nam,16,0,0,8,8,0,8
2/23/2020,Philippines,3,0,1,3,0,0,0
2/23/2020,Cambodia,1,0,0,1,0,0,0
2/23/2020,Thailand,35,7,0,23,5,0,5
2/23/2020,India,3,0,0,3,0,0,0
2/23/2020,Nepal,1,0,0,1,0,0,0
2/23/2020,Sri Lanka,1,0,0,1,0,0,0
2/23/2020,United States of America,35,1,0,14,20,18,2
2/23/2020,Canada,9,1,0,7,1,1,0
2/23/2020,Italy,76,64,2,3,9,0,9
2/23/2020,Germany,16,0,0,2,14,0,14
2/23/2020,France,12,0,1,5,7,0,7
2/23/2020,The United Kingdom,9,0,0,2,7,6,1
2/23/2020,Russian Federation,2,0,0,2,0,0,0
2/23/2020,Spain,2,0,0,0,2,2,0
2/23/2020,Belgium,1,0,0,1,0,0,0
2/23/2020,Finland,1,0,0,1,0,0,0
2/23/2020,Israel,1,0,0,0,1,1,0
2/23/2020,Sweden,1,0,0,1,0,0,0
2/23/2020,Iran (Islamic Republic of) ,28,10,5,0,18,0,18
2/23/2020,United Arab Emirates,13,0,0,6,7,2,5
2/23/2020,Egypt,1,0,0,0,1,0,1
2/23/2020,Lebanon,1,0,0,0,1,1,0
2/23/2020,"International
conveyance‡
(Diamond
Princess) ",634,634,2,0,0,0,0
