Date,Country/Territory/Area,Confirmed Cases,Total with sites under investigation ,Total Deaths,Exposure In China,Exposure outside China 
2/3/2020,Japan,20,0,0,17,3
2/3/2020,Republic of Korea,15,3,0,8,4
2/3/2020,Viet Nam,8,0,0,6,2
2/3/2020,Singapore,18,0,0,18,0
2/3/2020,Australia,12,0,0,12,0
2/3/2020,Malaysia,8,0,0,7,1
2/3/2020,Cambodia,1,0,0,1,0
2/3/2020,Philippines,2,1,1,1,0
2/3/2020,Thailand,19,0,0,18,1
2/3/2020,Nepal,1,0,0,1,0
2/3/2020,Sri Lanka,1,0,0,1,0
2/3/2020,India,3,0,0,3,0
2/3/2020,United States of America,11,1,0,8,2
2/3/2020,Canada,4,1,0,3,0
2/3/2020,France,6,0,0,5,1
2/3/2020,Finland,1,0,0,1,0
2/3/2020,Germany,10,0,0,2,8
2/3/2020,Italy,2,0,0,2,0
2/3/2020,Russian Federation,2,0,0,2,0
2/3/2020,Spain,1,0,0,0,1
2/3/2020,Sweden,1,0,0,1,0
2/3/2020,United Kingdom,2,0,0,1,1
2/3/2020,United Arab Emirates,5,0,0,5,0
