Date,Region Country/Territory/Are,Confirmed cases,Total with sites under investigation,Total deaths,Exposure in China,Exposure outside of China
2/7/2020,Singapore,30,0,0,21,9
2/7/2020,Japan,25,0,0,21,4
2/7/2020,Republic of Korea,24,2,0,11,11
2/7/2020,Australia,15,0,0,15,0
2/7/2020,Malaysia,14,1,0,9,4
2/7/2020,Viet Nam,12,0,0,7,5
2/7/2020,Philippines,3,1,1,2,0
2/7/2020,Cambodia,1,0,0,1,0
2/7/2020,Thailand,25,0,0,21,4
2/7/2020,India,3,0,0,3,0
2/7/2020,Nepal,1,0,0,1,0
2/7/2020,Sri Lanka,1,0,0,1,0
2/7/2020,United States of America,12,0,0,10,2
2/7/2020,Canada,7,1,0,6,0
2/7/2020,Germany,13,0,0,2,11
2/7/2020,France,6,0,0,5,1
2/7/2020,Italy,3,0,0,3,0
2/7/2020,The United Kingdom,3,0,0,1,2
2/7/2020,Russian Federation,2,0,0,2,0
2/7/2020,Belgium,1,0,0,1,0
2/7/2020,Finland,1,0,0,1,0
2/7/2020,Spain,1,0,0,0,1
2/7/2020,Sweden,1,0,0,1,0
2/7/2020,United Arab Emirates,5,0,0,5,0
2/7/2020,International conveyance (Japan),61,61,0,0,0
